author,comment
@vreelaraju,3.10മിനിറ്റ് കൊണ്ട് നീ കത്തിക്കുന്ന ഒരു വൈബ് അത് വേറെ ആണ് മോനെ.. ലേറ്റ് ആണ് കമെന്റ് ബോക്സിൽ.നീ കാട്ടിൽ നിന്ന് പിടിച്ച കരിമ്പുലി കുഞ്ഞുങ്ങൾ ഇനിയും ഉണ്ട്.
@VinothKumar-uu7bp,Vedan
@spokencroww90,What is this?
@akhilasumesh2733,അല്ലേലും പാവപ്പെട്ടവൻ നന്നാവുന്നത് ആർക്കും കണ്ടുകൂടല്ലോ
@BUDDHISTSCHOOL,"What a mesmerizing lines, ho veda u r such a great man ❤❤❤❤"
@binut3273,🎉🎉my son  favourite song 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
@TitusalphonsTitusallphones,🐖💨💨💦💦💨
@TitusalphonsTitusallphones,😂😂😂😂😂
@ManimaranManibharathi,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=121"">2:01</a> 😮ooooh man🔥🔥🔥🔥🔥"
@ManimaranManibharathi,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=87"">1:27</a> ⚡🔥⛰️"
@AkahmadstanAhmad,From karnataka❤️‍🩹✨
@juliuspaldhan83,Goosebumps.....
@spjsunil-x1l,ഇത്ര ഓപ്പൺ എയറിൽ പാടിയിട്ട് ഇത്ര സൂപ്പർ    ശരിക്കൊന്ന് അറിഞ്ഞു പാടിയാൽ 👌👌👌👌👌👌👌
@faisalmuthireth,വരികളുടെ ഒരു പവർ 🔥
@MANOJMANGALAM-i1i,ഇനിയും പിണറായിക്ക് വോട്ട് ചെയ്യല്ലേ
@pkp.selvaaa7230,❤❤❤❤❤🎉😊
@RajendraprasadM.R-l6f,മോനെ ❤
@VishalVishal-g8h5o,Tamil Nadu layer
@DevikaDevayani-w1p,Super vadaaaa❤️❤️❤️❤️❤️🖤🖤🖤🖤🖤
@rahmanabdu130,"<a href=""https://www.youtube.com/watch?v=gU74mNz64VU"">https://youtu.be/gU74mNz64VU?si=cNrc-teLFAFkjwd5</a><br><br><br>190 million views this MC Stan  rapper songs <br><br>Hence we must need to cross 200M <br>Plz all spread this Voice of voiceless ❤"
@Milan-k1j,Gommala a huge fan of you from Banglore my brother hoo
@anilmathew1113,വേടൻ ❤
@thahirrs3737,🎉❤
@NP-zg3hq,❤
@Raheemvm-tf3eh,Vedan ❤❤❤❤
@Lifebeginswherefearends001,തമിഴ് പുലി തീവ്രവാദിയ്ക്കുണ്ടായ താലിബാൻ സന്താനത്തിന് ജീവിതം കഞ്ചാവാകുമ്പോൾ സംഗീതം മരണമാകും.<br>കാരുണ്യം ക്രൂരതയാകുമ്പോൾ<br>ആനന്ദം ദുരന്തമുണ്ടാകും 🖕👹🖕☪️🖕🇨🇳🖕✝️😎
@Bloomy_hh,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=91"">1:31</a> Vedaaaaaah 💀"
@PonnammaT.K,Vedan    You   are    സൂപ്പർ    So   Wonder  ful Dynamic   person   ❤️❤️❤️❤️❤️😍👍👍👍👍👍👍👍👍👍വിജയി ച്ചു   മുന്നേറൂ   മോനെ. You   are   So   Great.  God   Bless   You   മോനെ. കട്ട    പ്രാർത്ഥന   ഉണ്ട്. ❤️❤️❤️❤️👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤️❤️❤️😍😍😍😍❤️❤️❤️
@annieangel1890,😮 ❤️
@renjithk1881,❤
@ajaynatarajan559,Bro release tamil version
@sandhya-e4p,❤❤❤❤❤
@vijeeshavipin5312,🔥🔥🔥
@BalajiBalaji-sj2sd,This is my energy everyday .thank you vedan ❤❤❤
@Tom-m3x7g,❤
@shankars5142,The real heart touching words
@murugarajas3746,"Bro make a song for voice less peoples who had died in coustodial death , I believe that you only can give voice for<br>Comman people that will reach by your art from through out the world..."
@RashidRashid-dz3po,രാജ്വന്ന് ജാൻ പാട്
@RashidRashid-dz3po,Plieees പാട്
@appuachu-r7w,❤❤❤❤❤❤
@Dream_Trip_Guys,Tamilnadu ❤❤❤❤❤❤❤
@aravindm-i4j,❤❤❤❤
@ezhilanashokkumarkumar9756,Nice song 🙏♥️♥️ brother
@ThangamalaiElumalai,❤❤
@Bsjksnsbbvheuzisss,Love from chennai
@ganakabilan513,வரலாற்றின் வெற்றி நாயகன் வேடன் 🔥🔥🔥🔥🔥
@tecksengm,He singing about TAMIL EELAM warriors and politics
@ramff474,Any Tamil Fans???
@abinavshaji,I&#39;m madly addicted🫠
@liya8748,Bro i support u i know yr pain 🎉🎉🎉🎉🎉🎉
@nickj7613,Adimaiku ethu Edam charithra busthagangalil???? ❤❤❤
@ms2pranav,Love you chotuuu chettaaaaa
@ms2pranav,"Sing very very story bad, your voice is price.. but very bad music director..  lazy idiot,is he giving very high vibes on some weed stuff? I am a ward support vedaaaa ,endaaa aaathmaa"
@VijayPothula-n8g,Song for A ❤ reason... Voice less❤ vedan for A reason.... ❤😮😮😮
@ArunKumar-n4b4n,Wow❤😂
@MaheshvMahee,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉 inspiration words
@sabarinathb9736,😂😂😂😂😂😂 good comedy vedan
@suhailsuhail9390,🖤🖤
@DRD-o1r,❤❤
@technologygaming7848,SUPPORT FROM TAMILNADU (TN)
@MuralidharanM-ng4js,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
@MEEKHA5,💯%TRUE&#39; 💖💖
@johnsonthomas1096,Lines❤
@dileepc2350,❤
@rohith5450,Wow ❤
@JeyakumarLagen,Hi
@lionelmessi10-fc,Neernilangalin adimayaar udamayaaru<br>Nilangalaayiram veliyil thirichathaaru<br>Thiricha veliyil kulam mudichath ethraperu<br>Muthuku kooni thalakal thaanuminiyum ethranaalu<br>Neernilangalin adimayaar udamayaaru<br>Nilangalaayiram veliyil thirichathaaru<br>Thiricha veliyil kulam mudichath ethraperu<br>Muthuku kooni thalakal thaanuminiyum ethranaalu<br>Nee piranna mallil ninne kandaal verupp<br>Paniyeduthu meni veyil konde karupp<br>Ninte chaalayil eriyunnilla adupp<br>Pinju kunjaval aravayaril kidapp<br>Rathri pakalaaki paniyeduth naduvodinj<br>Chora neerakki neeru muzhuvan vatti vaarnnu<br>Naadu nagaramaakki koodu koodaaramaakki<br>Mannu ponnakki ponnu ninakkanyamaakki<br>Ponnu kettavan pidanju veenu chora thuppi<br>Neethi kettavan iruttarayil thala thappi<br>Ponnum neethiyum vilachedutha bhoomiyum<br>Vilichu kena saamiyum<br>Velichamulla bhaaviyum<br>Nee nediyilla enkilum<br>Nee vaadiyilla<br>Agniyil kuruthu kaneerazhiyil kulichu<br>Thund manninaayi kothich mannu nine chathich<br>Pinnilaaro kalich neethi pande marichu<br>Kannil kaanaatha jaathi matha verpaadu<br>Yugangalaayi thudangi iniyumenne vettayaadu<br>Adangi nilkuvaan ayyo njan petta paadu<br>Ente muthukil vanjanayaaletta paadu<br>Njan paananalla parayanalla pulayanalla nee thamburaanumalla<br>Aanel oru mairumilla<br>Inniyum kaalamilla kaathirikkaanaakukilla<br>Poruthu pokuvaan kshema oru thari baakki illa<br>Enikk vendatho enikk vendathalla njangalkku vendath<br>Nee tharaan madich njangalere kothich<br>Athinaayi ethraper marichu kandu kandu nee chirichu<br>Alla alla alla allalilla naalathilla<br>Illa illa vedan illakadha parayukilla<br>Kaadukattavante naattil choru kattavan marikkum<br>Kooru kettavan bharichaal ooru kattavan mudikkum<br>Peruketta paamaranmaar poradikkuvaan vilikkum<br>Pettunovedutha thalla pallayil kanal nirakkum<br>Kodikal ethra paari kottakothalangalil<br>Adiyaan kandathilla bhaavi thante makkalil<br>Maandu poyi nee karutha porkalangalil<br>Adimakkethidam charithra pusthakangalil<br>Kapadadeshavaadi naattil matha jaathi vyaathi<br>Thalavanilla aathi naadu chuttidaan ninte nikuthi<br>Vaaleduthavante kayyilaanu naadu paathi<br>Vaakkeduthavan deshadrohi theevravaathi<br>Kapadadeshavaadi naattil matha jaathi vyaathi<br>Thalavanilla aathi naadu chuttidaan ninte nikuthi<br>Vaaleduthavante kayyilaanu naadu paathi<br>Vaakkeduthavan deshadrohi theevravaathi<br>Ezhuthiya variyilathika pakuthiyum njaanetta chathi<br>Kanaloru thari mathi oruthari mathi thari mathi<br>Neernilangalin adimayaar udamayaaru<br>Nilangalaayiram veliyil thirichathaaru<br>Thiricha veliyil kulam mudichath ethraperu<br>Muthuku kooni thalakal thaanuminiyum ethranaalu
@suruliilw5071,From sri lanka
@Sakthi-k9v,1.27 hit the song 🚨
@Venkatesan-z5c,"<a href=""https://www.youtube.com/watch?v=GBGzfFAYzRA"">https://youtu.be/GBGzfFAYzRA?si=PUVZ_It_XKa2aky_</a>"
@Flakesfoods,😱
@Mohamed_Zaaj,Love from sri lanka
@JoseTJ-lj3lx,തവളക്കഥയും കൊണ്ട് അധികം കാലം ഈ ആധുനിക സമൂഹത്തെ പ്രാകൃതകാലത്ത് കെട്ടിയിടാൻ കഴിയില്ല ഈ വാക്കുകൾ തീ ജ്വാല പോലെ കത്തിജ്വലിക്കും.
@Lakshminarayana-t4h,U r public property now be a good boy. I am like ur mom.
@ashrafali-no2bg,പാട്ട് കൊണ്ടൊരു ചൂട്ടു കെട്ടി തമ്പുരാന്മാരുടെ മുഖത്തു കുത്തിയവന്റെ പേര് &quot;വേടൻ&quot;
@AnuFransis,Super nice 💯
@mohamedniyas6713,Good 👍
@akshithgamess,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=72"">1:12</a> 🤫😮‍💨🗿"
@ullasullas6695,എഴുതിയത് വേടൻ ആണോ 👆?
@shijugopalan2093,"ഒരു ജാതി ഒരു മതം ,മനുഷ്യന്,<br>പറയിപെറ്റ പന്തീര്കുലം,<br>ഭരണഘടന ലെ ആമുഖത്തിലും പറയുന്നത് തന്നെയാണ് വേടൻ നാടൻ ഭാഷയിൽ പറയുന്നത്. ഞാൻ പുലയനല്ല പറയനല്ല ശൂദ്രനല്ല, നീ തമ്പുരാനും അല്ല നാം മനുഷ്യരാണ്."
@StalinEraniyappan,Vedan tamil ❤ fan🎉
@_motivationhub_3270,കാടുക്കട്ടവന്റെ നാട്ടിൽ...ചൊറുക്കട്ടവൻ... മരിക്കും..
@sheethalakshmi2525,வேடன் சூப்பர்டா தம்பி வாழ்த்துக்கள் தீப்பொறி பரவட்டும் அருமை அருமை
@sivasubramanian1663,Yov nallairukuya un paatu
@IndhiraKumari-y8j,❤❤❤❤❤❤❤❤
@kumaresankurichi3596,Super congratulations vedan....
@RakeshVj-u8u,കിടു മ്യൂസിക് ❤❤🎉🎉
@SVASISVASI,பிரபாகரன் பிள்ளை❤
@ajeesh7789,Anyone 2025 ?
@Aravindhakshan-b3i,💥Vedan 💥 fans pls like<br><br>👇
@leenaleena-lm2ub,വേടൻ❤❤❤❤❤❤❤❤
@amitlodha-t4f,make a song for ajith <br>and justice for ajith
@Hsahjnmnniii,എനിക്കൊരു വീഡിയോ ഈ സോങ് കൊടുത്തു അപ്‌ലോഡ് ചെയ്യാൻ കോപ്പിറൈറ്റ് വരികയാണ് എന്തെങ്കിലും ചെയ്യാൻ പറ്റുമോ നിങ്ങൾ ഒന്ന് ഒഴിവാക്കി തരുമോ
@linganathan1896,1/7/2025 🎉😊
@alwinraja7414,🖤
@SanthoshKarunakaran-d6z,💥
@glancedancecentre5411,Idhu Patcha Tamilan keralam 🔥 Fire satha udal meendum vandhu nikom nam thamila
@sreekumarsurya7389,അക്ഷരങ്ങളിൽ അഗ്നിനിറച്... അശ്വമേധംമായി.... വേടൻ... 👍👍👍🔥🔥🔥🚩🚩🚩congrats...
@ManiR-o2k,❤
@SatheeshSayuj,🙏🙏🙏❤
@anwaranwar9043,Veda illa this line and njn padan alla parayan alla this line owwwwwwwwwwwwww😢
@GokulSree-y4o,Udamaya are adima Ara😎
@impossibleshorts7373,Bro on fire mode 🔥
@sajidayishu858,🤲😭😭😭🤲👍👍👍👍👍👍👌👌👌👌👌😭🤲🌹vvvvv
@ramisjalill4161,Ahemada...!
@HRHR-b6c,❤
@whatsappworld4056,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=87"">1:27</a> 🔥🔥🔥"
@RayencjKing,"i have listened many songs but bro you sound different and you seem like telling a real story , not like these fake rappers . I hope you see this comment some time bro ."
@KinkY_TaiL_MapogO,ഞാൻ പാണനല്ല പറയനല്ല പുലയനല്ല നീ-<br>തമ്പുരാനുമല്ല ആണേലൊര് മൈരുമില്ല...<br>ഇനിയും കാലമില്ല<br>കാത്തിരിക്കാനാവുകില്ല<br>പൊറുത്ത് പോകുവാൻ<br>ക്ഷമയൊരു തരി ബാക്കിയില്ല... <br>😌💪✊<br>2025  Here
@vickyfaunans2004,2025 blast 🔥🔥🔥🔥🔥🔥🔥🔥
@BibinaBibinaajayan,❤❤❤😊
@Travelworldsrilanka,Love from srilanka ❤❤❤❤❤
@valsalamohanan6057,വേടൻ ❤❤❤❤❤❤
@MTqueen0733,Any tamil fans*__&gt;&gt;&gt;
@ThiruArasu-z3v,Tamil Nadu ❤❤
@vinodkc3366,പാട്ടിന്റെ സ്പീഡ് അനുസരിച്ച് ഫ്രെയിം പോര
@samsonanandchristain,Satanic last 🦋 lil wayne logo
@navinrock618,F*<b>*</b>
@unniraju111,❤
@Sandy-yj2zt7wq5n,Outstanding semmmya eruku❤
@Sudhakannan23,വേടൻ  എന്റെ പൊന്ന് മോനേ  നിനക്ക് ഇനിയും ഉയരങ്ങളിൽ എത്താൻ പറ്റട്ടെ 🥰🥰🥰🥰
@johnboyjohnboy1473,ಲವ್ ಯೂ ವೇದನ್
@justamen...9025,"Song ,lyrics ☺️💯  ivante oombiya DNA statement  🤮🤮💯"
@sjeditzzz8490,Words❤
@sreeramk5543,I lv u so much vedan chetta ❤❤❤❤❤❤❤from tamil nadu madurai ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@Maski_girl_18,❤️‍🔥❤️‍🔥❤️‍🔥
@priyaks671,❤
@sajinmechboy4778,Bro Tamil la song poodunga  bro msg Puriyala sila lines
@Abhi-ke9fm,Worst Visualization! 😢
@AnishDenial,Broo he copied juice wrld🥲
@sharibaashi,Aa ചേച്ചി തന്നെ ആണേൽ നല്ല രസം ഇണ്ടാവും.... ❤️
@riyazahmed2884,தமிழன் கேரளாவில் இருந்து 😊
@FasilOt-r4s,Leo vs messi🫵
@ANOJKOMBAN,❤
@judithmangattu,🔥❤
@shersonautorickshawofficia6438,❤
@SathishKumar-nr5oh,Vedan 🔥 top South Indian rapper ❤ Jai bheem
@Manju-r9b,S I m in 2025
@deepakdurai6055,This guy vedan thambi is phenomenal...he is gonna make history...go ahead we are here for you ❤
@Marshook-uk3ou,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=167"">2:47</a>  💯     അന്നും ഇന്നും   BJP  🤮   india 😢😞"
@Marshook-uk3ou,അന്നും ഇന്നും   BJP  🤮   india 😢😞
@Marshook-uk3ou,അന്നും ഇന്നും   BJP  🤮   india 😢😞
@Marshook-uk3ou,💯    അന്നും ഇന്നും   BJP  🤮   india 😢😞
@duahuda9358,Video sathyam paranjal ishtamayilla.. expectation koodi vannatha 😢 but song adipoli aanattooo
@IshaqueAboobacker-k6p,Yaa mone🤘🔥🔥🔥🔥
@ponnuscarft,❤❤❤❤❤❤
@shinymoljose8001,"Eee pennine njan kandittund, u tube channel njan subscribe cheythittund."
@NICKandJAZZHU,സോങ്-🔥--- വിഷ്വൽസ്-🤡
@kelvinashir5203,❤❤❤
@ssmempire3691,🔥🔥🔥
@Babukv-z6d,Chetta eniku chettaneum chettantte rapsongsum chettantte swapapavum orupad ishttaman<br>I realy love you so much chetta <br>I see you as my brother 😊❤🥺😄🌹🫂
@nimaranjith8329,🔥🔥🔥🔥
@Teamkaaran,🔥🔥🔥💪💪💪
@kavithas676,After 7 yrs my husband said this song is for u ❤😈...
@nithinmr380,💥
@sajidayishu858,🤲👍👍👍👌👌🤲🌹❤️
@LaxmananP-p5n,Lakshmansuparsans
@sahil001-f8e,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=89"">1:29</a> enik oru myrum illa ❤"
@GokulSree-y4o,Any vedan fans 😎🤙
@shajansrinivas7760,Translate in tamil...
@efootball487,അടിമക്കേതിടം ചരിത്ര ഗ്രന്ഥങ്ങളിൽ 🥲
@coffee636,That is over all cast cast 💙💙
@ayyappov6025,மகிழ்ச்சி ❤🎉🎉🎉
@abiabi4877,Jun.6.2025
@IdhyathidhyathIdhyathidhyath,I really proud of you❤ unexpectedly this song 🫂👍
@shivannac5160,Super ❤
@aiswaryamerin3566,💚
@AswinSeenu-mr9sv,We all love u vedan from tamil nadu❤❤❤❤❤❤❤❤
@muthumuthu3292,thambi unna  parkanum
@Premjith-n2k,Any one see in 2027
@PradeeshPradeesco,Vedan poliyanu❤❤❤❤❤❤❤❤❤
@RinithRinith-n5o,❤❤❤🎉
@mackrockzz,We will do collab together soon .. love from tamil hiphop artist ❤❤
@Thiyagu-m6l9k,Tamilnadu fans 2025
@KannanKannan-y1k1e,சூப்பர் அண்ணா
@noushadnousha7835,Music like a gun
@5gworld-q5m,Vedan❤❤
@sarathbabu4611,Wear My vetti satta 🫂
@LineshKb,Veda nee kalippda  machan
@shafeek.kshafeek3716,❤❤
@BeenaBeena-z4g,❤❤❤❤ വേടൻ ❤❤❤❤❤
@huzainm5062,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=88"">1:28</a>"
@Ashom-e3i,ວັດເກົ່າ
@parudeesa-ox2wp,വേടനെ ♥️തിരഞ്ഞു വന്നവർ♥️👍👍👍👍👍👍
@Kuttymassmedia,அப்பா வேர .....நான் வேர ....Movie name
@Siva5858kumar,பிரியாணி மேன் வீடியோ பார்த்து வந்தேன்
@SarithaLiju-y9c,🥺😮😮😮😮😮😮😮😮😮😊😂🎉❤❤🎉🎉😢😢🎉😅😊😮🎉❤😮😅
@savithrykumar3837,Mass🔥👏👌
@HoookygloomyHorizone,One word and action ❤ ♥️
@ideamusicworldchannel9753,Bro nanum unkotta varanum
@DileepDhiya,വേടൻ ഫാൻസ്‌
@Muruganandam-p8n,அருமை ❤️
@ponrajsubramaniyan5782,Sir nan ungala pakkanum appointment kitaikumae love u sir happy journey
@MTqueen0733,Anyone 2025✨✨✨✨✨
@elumalaikasi688,Super lines thanks vedan. JAI BHEEM
@ivenjohnax,pain has no language watching in tamilnadu
@noordooyu6880,🔥
@ValsammaChacko-t3s,Ok
@SunilKalarikkal-y1f,ഇങ്ങനെ വരി എഴുതണമെങ്കിൽ അത് ഇവനല്ലാതെ പിന്നെ ആർക്കാ സാധിക്കാ
@sijikc4447,🔥🔥
@Adirai123-q3i,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤vedan வாழ்த்துக்கள் வாழ்த்துக்கள் வாழ்த்துக்கள் vedan i love you. Muthe 👌👌👌👌👌👌👌from தமிழ் நாடு 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤.....
@harigaming96,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=84"">1:24</a>. 🥵"
@abdulazees.aaa007,"ஆளும் பாசிச அரசை கிழிச்சு எறிஞ்சுட்டான் இந்த <a href=""http://www.youtube.com/results?search_query=%23%E0%AE%B5%E0%AF%87%E0%AE%9F%E0%AE%A9%E0%AF%8D"">#வேடன்</a> 🔥💪🏻"
@PraveenKumar-g5t2i,I love you vedan❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@m.piyyappanponnusamy6318,Jaibheem
@DanalakshmiDanav,ഈൗ പാട്ട് 3വർഷമായി ഉണ്ടായിരുന്ന arum😔ellayirunm
@johnmarley-hn7uy,🔥🔥🔥🔥😈😈😈😈😈
@UsumakiNaruto1,❤ motivation ❤
@prathaplakshmanan6120,😂
